嗚呼,ああ
覆す,くつがえす
くっきり,くっきり
屈折,くっせつ
くっ付く,くっつく
くっ付ける,くっつける
ぐっと,ぐっと
諄い,くどい
首飾り,くびかざり
首輪,くびわ
組み合わせ,くみあわせ
組み合わせる,くみあわせる
蔵,くら
くらい,くらい
クラブ,クラブ
倶楽部,クラブ
グラフ,グラフ
苦しめる,くるしめる
グレー,グレー
クレーン,クレーン
呉れ呉れも,くれぐれも
呉れる,くれる
玄人,くろうと
黒字,くろじ
群,ぐん
軍事,ぐんじ
君主,くんしゅ
群集,ぐんしゅう
軍備,ぐんび
軍服,ぐんぷく
刑,けい
系,けい
頃,けい
経過,けいか
軽快,けいかい
契機,けいき
計器,けいき
計器,けいき
敬具,けいぐ
敬具,けいぐ
軽減,けいげん
掲載,けいさい
傾斜,けいしゃ
形勢,けいせい
形成,けいせい
軽率,けいそつ
形態,けいたい
携帯,けいたい
刑罰,けいばつ
刑罰,けいばつ
刑罰,けいばつ
経費,けいひ
警部,けいぶ
警部,けいぶ
軽蔑,けいべつ
経歴,けいれき
経路,けいろ
汚らわしい,けがらわしい
汚れ,けがれ
汚れる,けがれる
劇団,げきだん
激励,げきれい
ゲスト,ゲスト
ケチ,ケチ
決意,けつい
血管,けっかん
決議,けつぎ
決行,けっこう
結合,けつごう
決算,けっさん
月謝,げっしゃ
決勝,けっしょう
結晶,けっしょう
結晶,けっしょう
結成,けっせい
結束,けっそく
げっそり,げっそり
決断,けつだん
月賦,げっぷ
欠乏,けつぼう
けど,けど
蹴飛ばす,けとばす
貶す,けなす
気配,けはい
煙たい,けむたい
煙る,けむる
獣,けもの
家来,けらい
圏,けん
権,けん
原,げん
権威,けんい
兼業,けんぎょう
原形,げんけい
権限,けんげん
現行,げんこう
現行,げんこう
健在,けんざい
原作,げんさく
検事,けんじ
元首,げんしゅ
原書,げんしょ
懸賞,けんしょう
懸賞,けんしょう
減少,げんしょう
健全,けんぜん
健全,けんぜん
元素,げんそ
